1;1;Bulbizarre;40;8;11;5;0;;0;1;;Vampigraine;À moins que tous les dégâts infligés par cette attaque ne soient prévenus, vous pouvez retirer 1 marqueur de dégâts de Bulbizarre.;20;20;;;;;;;;;2;;;;;;;400;10;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;1;Herbizarre;60;8;11;5;0;;0;1;1;Fouet Lianes;;30;30;;;;;;;;;1;;2;;;;;;;;Poudre Toxik;Le Pokémon Défenseur est maintenant Empoisonné.;20;20;;;;;;;;;3;;;;;;;600;3;;;;;;;;;;;;;;;;;;;;;;;;
3;1;Florizarre;100;8;11;5;0;;0;2;2;Lance-Soleil;;60;60;;;;;;;;;4;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Transfert d’énergie;Aussi souvent que le souhaitez pendant votre tour (avant votre attaque), vous pouvez prendre 1 carte Énergie plante attachée à 1 de vos Pokémon et l'attacher à un autre. Ce pouvoir ne peut être utilisé si Florizarre est Endormi, Confus ou Paralysé.;;
4;1;Salamèche;50;5;;14;0;;0;1;;Griffe;;10;10;;;;;;;;;;;1;;;;;;;;Flammèche;Défaussez 1 carte Énergie feu attachée à Salamèche pour pouvoir utiliser cette attaque;30;30;;;;;;1;;;;;1;;;;;300;1;5;;;;;;;;;;;;;;;;;;;;;;;
5;1;Reptincel;80;5;;14;0;;0;1;4;Tranche;;30;30;;;;;;;;;;;3;;;;;;;;Lance-flamme;Défaussez 1 carte Énergie feu attachée à Reptincel pour pouvoir utiliser cette attaque;50;50;;;;;;2;;;;;1;;;;;300;1;5;;;;;;;;;;;;;;;;;;;;;;;
6;1;Dracaufeu;120;5;;14;0;4;1;3;5;Danseflamme;Défaussez 2 cartes Énergie attachées à Dracaufeu pour pouvoir utiliser cette attaque.;100;100;;;;;;4;;;;;;;;;;300;2;5;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Combustion d’énergie;Aussi souvent que vous le souhaitez pendant votre tour (avant votre attaque), vous pouvez transformer toutes les Énergies attachées à Dracaufeu en Énergie feu jusqu'à la fin du tour. Ce pouvoir ne peut être utilisé si Dracaufeu est Endormi, Confus ou Paralysé.;;
7;1;Carapuce;40;14;;3;0;;0;1;;Ecume;Lancez une pièce. Si c'est face, le Pokémon Défenseur est maintenant Paralysé.;10;10;;;;;;;;;;;;;;;1;601;2;-1;Repli;Lances une pièce. Si c'est face, prévenez tous les dégâts infligés à Carapuce pendant le prochain tour de votre adversaire. (Tout autre effet ou attaque est toujours valide.);0;0;;;;;;;;;;;1;;;;1;501;;;;;;;;;;;;;;;;;;;;;;;;;
8;1;Carabaffe;70;14;;3;0;;0;1;7;Repli;Lancez une pièce. Si c'est face, prévenez tous les dégâts infligés à Carabaffe pendant le prochain tour de votre adversaire. (Tout autre effet ou attaque est toujours valide.);0;0;;;;;;;;;;;1;;;;1;501;;;Morsure;;40;40;;;;;;;;;;;2;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;
9;1;Tortank;100;14;;;0;;0;3;8;Hydrocanon;Inflige 40 dégâts plus 10 dégâts supplémentaires pour chaque Énergie eau attachée à Tortank en plus du coût en Énergie de cette attaque. Les Énergies eau supplémentaires après la seconde ne comptent pas.;40;40+;;;;;;;;;;;;;;;3;200;10;3;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Danse de la pluie;Aussi souvent que vous le souhaitez pendant votre tour (avant votre attaque), vous pouvez attacher 1 carte Énergie eau à 1 de vos Pokémon eau (En plus de la carte Énergie que vous pouvez attacher normalement.) Ce pouvoir ne peut être utilisé si Tortank est Endormi, Confus ou Paralysé.;;
10;1;Chenipan;40;8;0;5;0;;0;1;;Sécrétion;Lancez une pièce. Si c'est face, le Pokémon Défenseur est maintenant Paralysé.;10;10;;;;;;;;;1;;;;;;;601;2;-1;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;1;Chrysacier;70;8;;5;0;;0;2;10;Armure;Lancez une pièce. Si c'est face, prévenez tous les dégâts infligés à Chrysacier pendant le prochain tour de votre adversaire. (Tout autre effet ou attaque est toujours valide.) ;0;0;;;;;;;;;;;2;;;;;500;;;Para-spore;Lancez une pièce. Si c'est face, le Pokémon Défenseur est maintenant Paralysé.;20;20;;;;;;;;;2;;;;;;;601;2;-1;;;;;;;;;;;;;;;;;;;;;;;
12;0;Papilusion;;;;;0;;0;;11;;;;0;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;1;Aspicot;40;8;0;5;0;;0;1;;Dard-venin;Lancez une pièce. Si c'est face, le Pokémon Défenseur est maintenant Empoisonné;10;10;;;;;;;;;1;;;;;;;601;3;-1;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;1;Coconfort;80;8;0;5;0;;0;2;13;Armure;Lancez une pièce. Si c'est face, prévenez tous les dégâts infligés à Coconfort pendant le prochain tour de votre adversaire. (Tout autre effet ou attaque est toujours valide.);0;0;;;;;;;;;;;2;;;;;501;;;Poudre Toxik;Lancez une pièce. Si c'est face, le Pokémon Défenseur est maintenant Empoisonné.;20;20;;;;;;;;;2;;;;;;;601;3;-1;;;;;;;;;;;;;;;;;;;;;;;
15;1;Dardagnan;80;8;;5;0;4;1;0;14;Double-dard;Lancez 2 pièces. Cette attaque inflige 30 dégâts multipliés par le nombre de faces.;0;30x;;;;;;;;;;;3;;;;;201;30;2;Dard-venin;Lancez une pièce. Si c'est face, le Pokémon Défenseur est maintenant Empoisonné.;40;40;;;;;;;;;3;;;;;;;601;3;-1;;;;;;;;;;;;;;;;;;;;;;;
16;1;Roucoul;40;10;6;3;0;4;1;1;;Cyclone;Si votre adversaire a au moins un Pokémon sur le Banc, il ou elle choisit l'1 d'eux et l'échange avec le Pokémon Défenseur. (Appliquez les dégâts avant d'échanger les Pokémon.);10;10;;;;;;;;;;;2;;;;;702;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;1;Roucoups;60;10;6;3;0;4;1;1;16;Cyclone;Si votre adversaire a au moins un Pokémon sur le Banc, il ou elle choisit l'1 d'eux et l'échange avec le Pokémon Défenseur. (Appliquez les dégâts avant d'échanger les Pokémon.);10;10;;;;;;;;;;;2;;;;;702;;;Mimique;Si Roucoups a été attaqué pendant le tour précédent, appliquez le résultat final de cette attaque infligée à Roucoups sur le Pokémon Défenseur.;0;0;;;;;;;;;;;3;;;;;101;;;;;;;;;;;;;;;;;;;;;;;;;
18;0;Roucarnage;;10;6;;0;;0;;17;;;;0;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;1;Rattata;30;10;;4;0;12;1;0;;Morsure;;20;20;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
